model,organ,contrast_type,25%,Median,75%
SegVol,gall_bladder,Arterial,0.7602799236774445,0.8493270874023438,0.8912829011678696
SegVol,gall_bladder,Venous,0.7915095090866089,0.8685348629951477,0.9045395851135254
SegVol,kidney_left,Arterial,0.9120671451091766,0.9251374006271362,0.9357555508613586
SegVol,kidney_left,Venous,0.9144118130207061,0.9274300932884216,0.9385326951742171
SegVol,kidney_right,Arterial,0.9228741377592087,0.9360337555408478,0.9457292556762694
SegVol,kidney_right,Venous,0.9226957559585572,0.934691607952118,0.9445973634719848
SegVol,liver,Arterial,0.9563419818878175,0.9627404510974884,0.9672002494335175
SegVol,liver,Venous,0.963680624961853,0.9682707190513612,0.9716034531593324
SegVol,pancreas,Arterial,0.7507859468460083,0.8125420808792114,0.8523333668708801
SegVol,pancreas,Venous,0.799841046333313,0.8454834818840027,0.8730787634849548
SegVol,postcava,Arterial,0.7082581222057343,0.7738139629364014,0.8260217905044556
SegVol,postcava,Venous,0.7627871334552765,0.8208192884922028,0.8594052344560623
SegVol,spleen,Arterial,0.9434445202350616,0.9541206061840057,0.9617488831281662
SegVol,spleen,Venous,0.9484825432300568,0.9575400948524474,0.9641450196504593
SegVol,stomach,Arterial,0.9227134883403778,0.9416391849517822,0.9528718590736388
SegVol,stomach,Venous,0.9215435981750488,0.9416932463645936,0.9530197381973268
Swin_UNETR,aorta,Arterial,0.7569609433412552,0.8587048053741455,0.8919073790311813
Swin_UNETR,aorta,Venous,0.6793405413627625,0.768101304769516,0.8463709950447083
Swin_UNETR,gall_bladder,Arterial,0.724694162607193,0.825950026512146,0.8761970847845078
Swin_UNETR,gall_bladder,Venous,0.7701098918914795,0.8492584228515625,0.8942827582359314
Swin_UNETR,kidney_left,Arterial,0.8980397582054138,0.9149348437786102,0.9278887808322906
Swin_UNETR,kidney_left,Venous,0.9008517116308211,0.9162934720516205,0.9302176237106324
Swin_UNETR,kidney_right,Arterial,0.904768854379654,0.9226697087287904,0.9353820383548737
