"algoRow","algoCol","pval","confidenceTier"
"nnU-Net_STU-Net_H","nnU-Net_MedNeXt",0.999955666179191,"<75%"
"nnU-Net_STU-Net_L","nnU-Net_MedNeXt",0.117628089651316,"<U+2265>75%"
"nnU-Net_U-Net","nnU-Net_MedNeXt",0.962608366980812,"<75%"
"nnU-Net_UniSeg","nnU-Net_MedNeXt",1,"<75%"
"MONAI_LHU-Net","nnU-Net_NexToU",2.27210711302318e-25,"<U+2265>99.99%"
"MONAI_SegVol","nnU-Net_NexToU",0.999999955047887,"<75%"
"MONAI_Swin_UNETR","nnU-Net_NexToU",1,"<75%"
"MONAI_UCTransNet","nnU-Net_NexToU",1,"<75%"
"MONAI_UNEST","nnU-Net_NexToU",1,"<75%"
"MONAI_UNETR","nnU-Net_NexToU",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_NexToU",0.030306528834944,"<U+2265>95%"
"Vision_Language_U-Net_CLIP","nnU-Net_NexToU",2.24867662119744e-16,"<U+2265>99.99%"
"_Diff-UNet","nnU-Net_NexToU",3.16353097745363e-30,"<U+2265>99.99%"
"_MedFormer","nnU-Net_NexToU",1.46576801355312e-23,"<U+2265>99.99%"
"_SAM-Adapter","nnU-Net_NexToU",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_NexToU",2.4513584416868e-215,"<U+2265>99.99%"
"nnU-Net_NexToU","nnU-Net_NexToU",NA,NA
"nnU-Net_ResEncL","nnU-Net_NexToU",2.38180798903969e-215,"<U+2265>99.99%"
"nnU-Net_STU-Net_B","nnU-Net_NexToU",2.93831302014469e-291,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","nnU-Net_NexToU",1.89037843014774e-205,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","nnU-Net_NexToU",1.90948472498086e-230,"<U+2265>99.99%"
"nnU-Net_U-Net","nnU-Net_NexToU",7.78765063311504e-222,"<U+2265>99.99%"
"nnU-Net_UniSeg","nnU-Net_NexToU",2.6911625718809e-68,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_ResEncL",1,"<75%"
"MONAI_SegVol","nnU-Net_ResEncL",1,"<75%"
"MONAI_Swin_UNETR","nnU-Net_ResEncL",1,"<75%"
"MONAI_UCTransNet","nnU-Net_ResEncL",1,"<75%"
"MONAI_UNEST","nnU-Net_ResEncL",1,"<75%"
"MONAI_UNETR","nnU-Net_ResEncL",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_ResEncL",1,"<75%"
"Vision_Language_U-Net_CLIP","nnU-Net_ResEncL",1,"<75%"
"_Diff-UNet","nnU-Net_ResEncL",1,"<75%"
"_MedFormer","nnU-Net_ResEncL",1,"<75%"
"_SAM-Adapter","nnU-Net_ResEncL",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_ResEncL",0.484161890246572,"<75%"
"nnU-Net_NexToU","nnU-Net_ResEncL",1,"<75%"
"nnU-Net_ResEncL","nnU-Net_ResEncL",NA,NA
"nnU-Net_STU-Net_B","nnU-Net_ResEncL",0.0168416244770165,"<U+2265>95%"
"nnU-Net_STU-Net_H","nnU-Net_ResEncL",0.889129376169635,"<75%"
"nnU-Net_STU-Net_L","nnU-Net_ResEncL",0.00321326013328729,"<U+2265>99%"
"nnU-Net_U-Net","nnU-Net_ResEncL",0.987915567980078,"<75%"
"nnU-Net_UniSeg","nnU-Net_ResEncL",1,"<75%"
"MONAI_LHU-Net","nnU-Net_STU-Net_B",1,"<75%"
"MONAI_SegVol","nnU-Net_STU-Net_B",1,"<75%"
"MONAI_Swin_UNETR","nnU-Net_STU-Net_B",1,"<75%"
"MONAI_UCTransNet","nnU-Net_STU-Net_B",1,"<75%"
"MONAI_UNEST","nnU-Net_STU-Net_B",1,"<75%"
"MONAI_UNETR","nnU-Net_STU-Net_B",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_STU-Net_B",1,"<75%"
"Vision_Language_U-Net_CLIP","nnU-Net_STU-Net_B",1,"<75%"
"_Diff-UNet","nnU-Net_STU-Net_B",1,"<75%"
"_MedFormer","nnU-Net_STU-Net_B",1,"<75%"
"_SAM-Adapter","nnU-Net_STU-Net_B",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_STU-Net_B",0.99596727426787,"<75%"
"nnU-Net_NexToU","nnU-Net_STU-Net_B",1,"<75%"
"nnU-Net_ResEncL","nnU-Net_STU-Net_B",0.983159140986195,"<75%"
"nnU-Net_STU-Net_B","nnU-Net_STU-Net_B",NA,NA
"nnU-Net_STU-Net_H","nnU-Net_STU-Net_B",1,"<75%"
"nnU-Net_STU-Net_L","nnU-Net_STU-Net_B",0.974687187611115,"<75%"
"nnU-Net_U-Net","nnU-Net_STU-Net_B",0.999999981759854,"<75%"
"nnU-Net_UniSeg","nnU-Net_STU-Net_B",1,"<75%"
