"algoRow","algoCol","pval","confidenceTier"
"Vision_Language_U-Net_CLIP","nnU-Net_ResEncL",3.71648600287249e-142,"<U+2265>99.99%"
"_Diff-UNet","nnU-Net_ResEncL",7.7334417610855e-117,"<U+2265>99.99%"
"_MedFormer","nnU-Net_ResEncL",1.1975146762835e-105,"<U+2265>99.99%"
"_SAM-Adapter","nnU-Net_ResEncL",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","nnU-Net_ResEncL",0.968323780493144,"<75%"
"nnU-Net_NexToU","nnU-Net_ResEncL",4.76361597807937e-215,"<U+2265>99.99%"
"nnU-Net_ResEncL","nnU-Net_ResEncL",NA,NA
"nnU-Net_STU-Net_B","nnU-Net_ResEncL",0.0336832489540331,"<U+2265>95%"
"nnU-Net_STU-Net_H","nnU-Net_ResEncL",0.221749665217313,"<U+2265>75%"
"nnU-Net_STU-Net_L","nnU-Net_ResEncL",0.00642652026657458,"<U+2265>99%"
"nnU-Net_U-Net","nnU-Net_ResEncL",0.0241700180236215,"<U+2265>95%"
"nnU-Net_UniSeg","nnU-Net_ResEncL",5.463099578888e-82,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_STU-Net_B",7.3509516530065e-232,"<U+2265>99.99%"
"MONAI_SegVol","nnU-Net_STU-Net_B",4.35753828834615e-258,"<U+2265>99.99%"
"MONAI_Swin_UNETR","nnU-Net_STU-Net_B",0,"<U+2265>99.99%"
"MONAI_UCTransNet","nnU-Net_STU-Net_B",0,"<U+2265>99.99%"
"MONAI_UNEST","nnU-Net_STU-Net_B",0,"<U+2265>99.99%"
"MONAI_UNETR","nnU-Net_STU-Net_B",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_STU-Net_B",3.13662941711005e-255,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","nnU-Net_STU-Net_B",8.50740489332972e-162,"<U+2265>99.99%"
"_Diff-UNet","nnU-Net_STU-Net_B",7.31352434781077e-156,"<U+2265>99.99%"
"_MedFormer","nnU-Net_STU-Net_B",3.82276628726559e-129,"<U+2265>99.99%"
"_SAM-Adapter","nnU-Net_STU-Net_B",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","nnU-Net_STU-Net_B",0.00806589434441376,"<U+2265>99%"
"nnU-Net_NexToU","nnU-Net_STU-Net_B",5.87662604028937e-291,"<U+2265>99.99%"
"nnU-Net_ResEncL","nnU-Net_STU-Net_B",0.0336832489540331,"<U+2265>95%"
